Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Baselink,6.02984039890645E-05,-0.00347531736397777,0.0573590161221855,0,0,0,0.92291766365822,0.000889355893817105,2.30285761501176E-06,-1.69735343493246E-06,0.000803534344884723,-7.28407364835707E-06,0.000817894490834363,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Baselink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Baselink.STL,,Robotic_Arm-link-1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-1.02244608118643E-06,0.00112007948225612,0.0204998303580782,0,0,0,0.382058624778773,0.000349750409666344,4.3880466277339E-08,-1.566462590951E-08,0.000409993912478931,8.4435983743781E-07,0.000385437259055181,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Link_1.STL,,Robotic_Arm-link-2-1,Origin_joint1,Axis_joint1,joint1,revolute,0,0,0.118080000000464,0,0,0,Baselink,0,0,1,18,3.5,-3.054,3.054,,,,,,,,
Link2,-0.000854665968855167,0.0290011119842195,0.00276923551752536,0,0,0,1.26341938174547,0.00253366296445769,-1.0594565225767E-05,3.52239486657366E-06,0.000863914704220155,1.99537985494069E-05,0.00287591504435729,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Link2.STL,,Robotic_Arm-link-3-1,Origin_Joint2,Axis_Joint2,Joint2,revolute,0,0,0.0477999999999999,1.5707963267949,0,0,Link_1,0,0,1,18,3.5,-1.4835,1.4835,,,,,,,,
Link3,0.0441755762110513,-0.00300061453468439,0.00125517691776518,0,0,0,1.79634044285213,0.00131750270771557,0.00012630708992994,0.000110559022367037,0.00215743063076519,-2.63185424659225E-05,0.00218419879727998,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Link3.STL,,Robotic_Arm-link-4-1,Origin_joint3,Axis_joint3,joint3,revolute,0,0.136682791981321,0,0,0,1.5707963267949,Link2,0,0,1,18,3.5,-1.2217,2.0944,,,,,,,,
Link4,1.03025769054854E-06,-0.00112007725301299,0.020499830358078,0,0,0,0.382058624778772,0.000349750409666343,4.38804662770973E-08,1.56674497381816E-08,0.000409993912478931,-8.44351800969626E-07,0.000385437259055179,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Link4.STL,,Robotic_Arm-link-5-1,Origin_Joint4,Axis_Joint4,Joint4,revolute,0.0882999999999411,-0.0610999999999994,0,1.5707963267949,0,0,Link3,0,0,1,18,3.5,-3.0543,3.0543,,,,,,,,
Link5,-0.00300061446036065,-0.044175576392248,0.00125517686079486,0,0,0,1.79634045496723,0.00215743060668843,-0.000126307095721348,-2.63185334804151E-05,0.0013175027320031,-0.000110559009407506,0.00218419879908848,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Link5.STL,,Robotic_Arm-link-6-1,Origin_Joint5,Axis_Joint5,Joint5,revolute,0,0,0.0478,-1.5708,0,0,Link4,0,0,1,18,3.15,-1.4835,1.4835,,,,,,,,
Link6,-4.37465252269009E-05,8.58573912293254E-05,0.0212480282420243,0,0,0,0.0968639400304875,1.41848026011587E-05,4.46246764635625E-16,3.55145625116609E-20,1.42612360613091E-05,5.14387944202092E-20,1.00976973694868E-05,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Link6.STL,0,0.501960784313725,1,1,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/Link6.STL,,Output_Shaft-1,Origin_Joint6,Axis_Joint6,joint6,revolute,-0.0611,-0.0883,0,-1.5708,0,-1.5708,Link5,0,0,1,18,3.15,0,6.28,,,,,,,,
End effector,0.034734444535006,-0.00374194889796029,0.0593600383669837,0,0,0,0.0212500714187753,1.72298495867314E-05,3.31657284094707E-07,-5.31858512593139E-06,1.70489918204971E-05,5.55202018835356E-07,8.64592251603619E-06,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/End effector.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assy-Arm-R9/meshes/End effector.STL,,Assy-dummy-end effector-1,Origin_Needletip,Axis_Joint6,Needle tip,fixed,-0.05788,0.0125,-0.09155,0,0,0,Link6,0,0,0,,,,,,,,,,,,
